Actual,Predicted
377262592.5,377262592.4999998
104287263.0,104287263.00000027
84670503.0,84670503.0000003
380638841.0,380638840.99999976
345867067.5,345867067.4999998
351658887.5,351658887.4999998
450684507.0,450684506.99999964
339495324.5,339495324.4999998
294181201.0,294181200.9999999
314568926.0,314568925.9999999
217852868.5,217852868.50000006
233269257.5,233269257.50000003
85533101.0,85533101.0000003
292943327.0,292943326.99999994
168222058.5,168222058.50000015
47992960.0,47992960.00000039
220327877.0,220327877.00000006
341435984.0,341435983.9999999
362189908.0,362189907.99999976
139489791.0,139489791.00000018
135001426.5,135001426.50000024
191740411.5,191740411.50000012
320358077.0,320358076.9999999
181965261.0,181965261.00000012
381312169.5,381312169.49999976
461066953.0,461066952.99999964
211234133.0,211234133.00000006
225744341.5,225744341.50000003
329317513.5,329317513.4999998
375551442.5,375551442.49999976
309540540.0,309540539.9999999
395443348.5,395443348.49999976
252388146.0,252388145.99999997
183782714.5,183782714.50000012
153815370.5,153815370.50000018
117204727.5,117204727.50000024
295711839.5,295711839.49999994
107190252.0,107190252.00000024
268977493.0,268977492.99999994
370788079.5,370788079.49999976
375247035.0,375247034.99999976
143471264.5,143471264.50000018
369475129.0,369475128.99999976
175436396.0,175436396.00000012
322944187.5,322944187.4999998
91709452.0,91709452.0000003
227348093.0,227348093.00000003
379890545.0,379890544.99999976
454856932.5,454856932.49999964
93010632.5,93010632.5000003
271494117.5,271494117.49999994
170240056.0,170240056.00000018
331752021.5,331752021.4999999
437921130.0,437921129.99999964
385628853.5,385628853.49999976
229054590.5,229054590.50000003
73780549.0,73780549.00000033
164286842.5,164286842.50000015
396832762.5,396832762.49999976
215063687.0,215063687.00000006
272220779.0,272220778.99999994
226166325.5,226166325.50000003
93708233.5,93708233.5000003
149105277.0,149105277.00000018
365477149.5,365477149.49999976
209290951.5,209290951.50000006
48974047.0,48974047.00000039
43142406.5,43142406.50000039
253362670.5,253362670.49999997
183628474.0,183628474.0000001
156258813.5,156258813.50000018
328926465.0,328926464.9999999
380916064.0,380916063.99999976
431073359.5,431073359.49999964
378371521.5,378371521.49999976
410113305.5,410113305.49999976
277302264.0,277302263.99999994
315223681.0,315223680.9999999
126378560.0,126378560.00000021
168392931.0,168392931.00000012
247932785.5,247932785.5
332464558.5,332464558.4999998
90732862.5,90732862.5000003
234443706.5,234443706.50000003
445455902.5,445455902.49999964
78909387.5,78909387.50000033
276164417.5,276164417.49999994
453013871.0,453013870.99999964
457828044.0,457828043.99999964
323664561.5,323664561.4999999
185370071.5,185370071.50000012
90393563.5,90393563.5000003
434336249.5,434336249.49999964
319470823.5,319470823.4999999
316770730.5,316770730.4999999
132430338.5,132430338.50000021
382396256.5,382396256.49999976
293118015.5,293118015.49999994
52852505.0,52852505.00000036
96887852.5,96887852.50000027
348499585.5,348499585.4999998
351412406.0,351412405.9999998
348537213.0,348537212.9999998
311143346.5,311143346.4999999
234816496.0,234816496.00000003
172317888.5,172317888.50000012
192232287.5,192232287.50000012
152376732.5,152376732.50000018
335365440.5,335365440.4999999
51315355.5,51315355.50000036
336262961.0,336262960.9999998
351815803.0,351815802.9999998
46691730.0,46691730.00000036
450012009.0,450012008.99999964
77401342.0,77401342.00000036
454888299.0,454888298.99999964
306237825.5,306237825.4999999
270615467.5,270615467.49999994
55747476.0,55747476.00000036
104194673.0,104194673.00000024
389021756.0,389021755.99999976
447565263.0,447565262.99999964
424175618.0,424175617.99999964
444430132.0,444430131.99999964
336237157.5,336237157.4999998
361544310.0,361544309.9999999
204157938.5,204157938.5000001
232397648.0,232397648.00000003
343980372.5,343980372.4999998
321272514.5,321272514.4999999
286064232.5,286064232.49999994
410271398.0,410271397.9999997
426152751.0,426152750.9999997
171052974.5,171052974.50000012
390649524.5,390649524.49999976
375120908.0,375120907.99999976
296720118.5,296720118.5
426154568.5,426154568.49999976
76557860.0,76557860.00000033
196756673.5,196756673.5000001
395437307.5,395437307.49999976
430083871.0,430083870.99999964
395930440.0,395930439.99999976
26438970.0,26438970.000000387
432856387.0,432856386.99999964
66220530.0,66220530.00000033
51338129.5,51338129.50000036
172979821.0,172979821.00000015
308545469.0,308545468.9999999
379408297.0,379408296.99999976
337456235.0,337456234.9999998
122092690.0,122092690.00000022
377932192.5,377932192.49999976
186262114.0,186262114.00000012
221232191.5,221232191.50000006
337414825.5,337414825.4999999
179991443.5,179991443.50000015
162591300.5,162591300.50000018
382547345.5,382547345.49999976
117917708.5,117917708.50000024
72365241.5,72365241.50000036
288625024.0,288625023.99999994
237749519.5,237749519.50000006
261512299.0,261512298.99999997
178980377.5,178980377.50000012
119304586.0,119304586.00000022
249055315.0,249055315.0
236269504.5,236269504.50000003
284667483.5,284667483.49999994
91403400.0,91403400.0000003
367769363.5,367769363.49999976
453559561.0,453559560.99999964
174243087.0,174243087.00000012
196605050.0,196605050.0000001
271517031.0,271517030.99999994
451293645.0,451293644.99999964
377489674.0,377489673.99999976
324875653.5,324875653.4999999
68866294.0,68866294.00000036
67061173.5,67061173.50000033
360066311.0,360066310.9999998
99926421.0,99926421.00000027
209816573.0,209816573.00000006
417888832.0,417888831.99999964
188039612.5,188039612.5000001
232730033.5,232730033.50000006
117345322.5,117345322.50000022
374754292.0,374754291.99999976
117120342.5,117120342.50000025
118073999.5,118073999.50000022
294488001.5,294488001.49999994
47903011.0,47903011.00000036
307235294.5,307235294.4999999
423859138.0,423859137.9999997
105137421.0,105137421.00000027
405938099.0,405938098.99999976
171149606.0,171149606.00000012
260594528.0,260594527.99999997
118883322.5,118883322.50000024
241456581.0,241456581.0
369668753.5,369668753.49999976
389578055.0,389578054.99999976
104318679.5,104318679.50000027
406376556.5,406376556.4999997
165276809.0,165276809.00000015
99974498.0,99974498.00000027
218502773.0,218502773.00000006
442403125.5,442403125.49999964
450730802.0,450730801.99999964
406362253.5,406362253.4999997
253448019.5,253448019.49999997
